d	aa	pa	x_target	y_target	z_target	ms
9.66342209879893	2.895473033446239	1.2684416054288978	0	0	0	1678411385098
9.663422098798929	0.39383443892103315	1.1519163062718083	0	0	0	1678411421486
9.663422098798929	0.39383443892103315	1.1519163062718083	0	0	0	1678411425478
9.66342209879893	-0.7231762823553378	1.1519163062718083	0	0	0	1678411428975
9.66342209879893	-4.3767321831968005	1.1286452495785506	0	0	0	1678411433167
9.66342209879893	-1.0489710760609452	1.2566360613914682	0	0	0	1678411437216
9.66342209879893	-0.9209802642480277	0.000001	0	0	0	1678411441107
9.66342209879893	-1.3049526996867802	0.000001	0	0	0	1678411445288
9.663422098798932	-1.4213079831530688	0.17453392524388225	0	0	0	1678411449270
9.66342209879893	-1.5143922099260998	0.8610300976949857	0	0	0	1678411453204
9.66342209879893	-2.165981797337316	1.7918723654252946	0	0	0	1678411457050
9.66342209879893	-3.236450405227172	3.129958125287614	0	0	0	1678411461940
9.66342209879893	2.592949296433889	3.141591653589793	0	0	0	1678411465984
9.66342209879893	2.5580427113940023	2.1874783291217774	0	0	0	1678411470137
9.66342209879893	2.3718742578479404	3.060142955118942	0	0	0	1678411474032
9.180250993858984	2.3718742578479404	3.0601429551189403	0	0	0	1678411477971
9.180250993858984	2.2089768609951363	3.141591653589793	0	0	0	1678411481991
9.180250993858984	2.1857058043018784	3.141591653589793	0	0	0	1678411485936
