d	aa	pa	x_target	y_target	z_target	ms
9.180250993859003	2.0344439357957027	1.5593298140946197	0	0	0	1678419448264
10.172023261893628	-1.677289606778905	0.5470388479379087	0	0	0	1678419491501
9.663422098798947	1.708649142090094	0.05834665737949618	0	0	0	1678419494104
9.180250993859	2.5929492964338876	0.000001000044449303342	0	0	0	1678419495115
9.180250993859	2.5929492964338876	0.000001000044449303342	0	0	0	1678419496028
9.180250993859	3.0350993736057843	0.7097682291888099	0	0	0	1678419496662
9.180250993859	2.6627624665136604	0.000001	0	0	0	1678419497445
9.180250993859	2.243883446035021	2.2107513859039334	0	0	0	1678419498462
9.180250993859	2.430051899581083	2.5598172363027993	0	0	0	1678419499347
9.180250993859	2.942015146832753	0.7214037575354388	0	0	0	1678419500313
9.180250993859	2.942015146832753	0.7214037575354388	0	0	0	1678419501267
9.180250993859	2.942015146832753	0.7214037575354388	0	0	0	1678419501909
9.180250993859	2.942015146832753	0.7214037575354388	0	0	0	1678419502550
9.180250993859	3.3143520539248765	1.1170117213208202	0	0	0	1678419503197
9.180250993858998	-2.666309516242359	1.5475262701460881	0	0	0	1678419504002
9.180250993858998	-2.666309516242359	1.5475262701460881	0	0	0	1678419504736
9.180250993858998	-2.4103278926165244	2.24565797094382	0	0	0	1678419505317
9.180250993858998	-2.4103278926165244	2.24565797094382	0	0	0	1678419506185
9.180250993858998	-2.4103278926165244	2.24565797094382	0	0	0	1678419506782
9.180250993858998	-2.4103278926165244	2.24565797094382	0	0	0	1678419507389
8.721238444166046	-2.4103278926165244	2.24565797094382	0	0	0	1678419507987
8.721238444166046	-2.4103278926165244	2.24565797094382	0	0	0	1678419508823
8.721238444166046	-2.4103278926165244	2.24565797094382	0	0	0	1678419509435
8.721238444166046	-2.4103278926165244	2.24565797094382	0	0	0	1678419510058
8.721238444166046	-2.4103278926165244	2.24565797094382	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419510681
8.721238444166046	-2.4103278926165244	2.24565797094382	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419511488
8.721238444166046	-2.4103278926165244	2.24565797094382	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419512113
8.721238444166044	-1.3864013981131844	2.164209272517418	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419512745
8.721238444166044	-1.3864013981131844	2.164209272517418	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419513423
8.721238444166044	-1.3864013981131844	2.164209272517418	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419514084
8.721238444166044	-1.3864013981131844	2.164209272517418	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419514742
8.721238444166044	-1.3864013981131844	2.164209272517418	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419515402
8.721238444166044	-1.3864013981131844	2.164209272517418	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419516070
8.721238444166044	-1.4678500965395864	1.6289749685724904	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419516757
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419517605
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419518337
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419518992
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419519647
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419520320
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419520991
8.721238444166044	-1.4678500965395864	1.5358907417994594	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419521656
8.721238444166044	-2.189252854030576	1.396264401639913	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419522331
8.721238444166044	-2.5499542327760705	1.3497222882533977	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419523137
8.721238444166044	-2.584860817815957	1.3380867599067687	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419523755
8.721238444166044	-2.584860817815957	1.3380867599067687	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419524424
8.721238444166044	-2.584860817815957	1.3380867599067687	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419525028
8.721238444166044	-2.666309516242359	1.3380867599067687	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419525629
8.721238444166046	-2.7361226863221324	1.3380867599067687	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419526222
8.721238444166048	-2.7826647997086478	1.3264512315601398	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419526893
8.721238444166048	-3.073553008374369	1.3264512315601398	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419527594
8.721238444166048	-3.2829925186136886	1.3264512315601398	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419528203
8.721238444166046	2.5464071830473722	1.4195354583331707	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419528944
8.721238444166046	2.5464071830473722	1.4195354583331707	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419529562
8.721238444166046	2.5464071830473722	1.4195354583331707	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419530141
8.721238444166046	2.639491409820403	1.7453302520387788	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419530731
8.721238444166046	2.6511269381670317	2.1758448008640467	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419531435
8.721238444166046	2.6511269381670317	2.1991158575573047	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419532203
8.721238444166046	2.6511269381670317	2.1991158575573047	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419532869
8.721238444166046	2.6511269381670317	2.1991158575573047	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419533454
8.721238444166046	2.5696782397406297	1.314815703213511	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419534072
8.721238444166046	2.5696782397406297	1.1984604197472224	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419534682
8.721238444166046	2.5115005980074856	1.1984604197472224	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419535321
8.721238444166046	1.627200443663692	0.7679458709219544	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419536011
8.721238444166046	1.4061254050777436	0.7679458709219544	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419536656
8.721238444166046	0.8243489877463005	0.7795813992685833	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419537313
8.721238444166046	0.8243489877463005	0.7795813992685833	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419537966
8.721238444166044	0.7661713460131561	0.7912169276152122	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419538628
8.721238444166044	0.7661713460131561	0.7912169276152122	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419539272
8.721238444166044	0.6730871192401253	0.8377590410017276	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419539924
8.721238444166044	0.6730871192401253	0.8377590410017276	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419540566
8.721238444166044	0.52182525073395	0.8726656260416142	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419541223
8.721238444166044	0.45201208065417686	0.8726656260416142	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419541888
8.721238444166044	0.4287410239609191	0.8726656260416142	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419542531
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419544609
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419545342
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419545974
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419546597
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419547243
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419547864
8.721238444166044	0.11458175860193986	0.977385381161274	0.5967667915498859	-0.07312617975794976	-0.4568029973305335	1678419548482
