"","ID","condition","admiration","beauty","boredom01","boredom02","empathy","imagination","interest01","interest02","liking","nostalgia01","nostalgia02","isp01","isp02","isp03","isp04","isp05","ispa","distance","travelDistance","distancePre","travelDistancePre","dataLength","dataLengthPre"
"161","FSXokMnv","W",2,3,5,5,1,1,2,4,4,2,1,1,5,6,2,2,3.2,7.35212546666836,247.101633996549,2.80039699301763,36.6236535789322,5867,7720
"162","FnpIt4IE","I",1,2,6,6,2,1,0,1,1,1,1,1,1,2,2,2,1.6,7.74300843172874,372.685837107623,3.87064080878331,238.717679200227,5904,7015
"163","rSJ9A6s2","W",2,2,5,5,2,2,1,1,2,1,1,3,4,4,5,5,4.2,7.09692325486131,304.306763980704,2.77961319966286,72.2147083897757,3855,9803
"164","49QsdujI","I",1,2,5,5,2,1,1,1,3,4,2,1,1,2,2,2,1.6,4.81282125513032,320.048224098841,2.4090780321765,277.523830582974,5884,8794
"165","TJukkgeS","I",3,3,3,3,4,3,3,3,4,3,2,2,2,4,3,3,2.8,7.17267643950631,261.255403824935,2.44883310453216,21.4485170597619,7434,2256
"166","FZl1Zg0i","I",2,2,4,3,2,2,2,2,3,2,2,2,4,4,5,4,3.8,8.72123844416605,46.3569644133259,2.11152963777696,199.577289531199,5648,4618
"167","PJqB4jDF","P",6,3,6,2,6,2,2,3,3,6,4,1,3,6,6,6,4.4,7.72110512008475,368.30732821664,3.10665304558115,159.305839017579,329,1036
"168","XbVXRuMt","W",2,2,4,4,4,2,2,2,2,3,3,2,3,3,4,4,3.2,7.66871624537297,368.133569977882,2.92299017927736,204.679425445143,1644,2650
"169","lAEZ2LVT","P",3,3,3,3,4,4,3,4,3,3,4,3,4,4,4,3,3.6,11.0296783139203,237.705838711982,2.82497214931814,45.7151263123168,122,287
"170","TsmYBlLH","I",4,4,4,2,4,2,2,4,5,2,1,4,2,6,2,2,3.2,6.93631989406842,205.603410854555,2.58299447576064,52.4956036955738,5925,6714
"171","8JFFiepc","P",3,2,3,4,4,3,3,3,4,4,3,4,4,4,5,4,4.2,6.96855640848378,259.166074002348,2.65077911192527,149.81410572389,5942,4110
"172","CEpLAjE6","I",2,1,3,2,5,4,4,4,3,6,5,4,5,5,6,6,5.2,6.59009241866836,416.40263018224,2.63234501447729,295.39498223753,5925,13174
"173","Dgmwbshd","P",4,4,4,3,2,2,2,2,3,2,3,2,2,1,0,1,1.2,5.79447386574406,511.112030364722,2.63500723125203,136.338911010843,5893,5045
"174","TP1ZbJTP","I",3,2,4,5,2,1,2,2,2,4,1,2,3,4,3,4,3.2,6.05503008937963,512.119756438347,2.55101509634922,144.831966181195,5864,4298
"175","uCmI4h8S","W",2,1,5,4,3,2,2,1,2,5,5,2,4,2,5,5,3.6,5.69464407695854,245.553533458733,2.79775661708603,40.2336396020366,1282,1734
"176","OvRA2SQm","P",1,1,5,6,2,2,1,1,2,2,0,1,2,2,5,5,3,6.91148821701137,396.283568128538,2.63724759284333,52.4133447462783,5927,5945
"177","KhzV43se","P",1,1,3,0,5,4,4,3,3,6,2,2,2,5,1,1,2.2,6.3511039199632,358.388126029933,2.4350008207916,88.4848616736301,5886,4397
"178","5exeKsOv","W",2,3,4,4,2,2,2,2,2,2,2,2,3,3,3,4,3,7.67167406944009,56.2666711306723,2.55391397835725,38.6089253336474,5803,9595
"179","1VkhDMUn","P",3,2,4,2,3,2,2,3,2,5,4,4,3,3,4,4,3.6,6.42521134603988,368.773360179713,2.52566957760997,152.186202902932,5952,5781
"180","s8N6fBFt","P",3,2,2,3,5,2,5,4,5,5,3,5,4,5,6,3,4.6,7.53985094436726,495.723648590577,3.81942783005316,315.20075840693,4703,7184
"181","XabbF2AN","P",2,1,4,4,4,1,2,2,2,3,2,2,3,1,3,3,2.4,8.18215213270493,407.300825013815,3.00246910601445,159.746625300909,1848,21494
"182","HI2futSu","I",2,4,5,4,5,1,2,2,4,4,2,2,2,5,4,4,3.4,5.66122325962829,164.754552700195,2.80523641109962,50.4327048586235,2464,3507
