"","ID","condition","admiration","beauty","boredom01","boredom02","empathy","imagination","interest01","interest02","liking","nostalgia01","nostalgia02","isp01","isp02","isp03","isp04","isp05","ispa","distance","travelDistance","distancePre","travelDistancePre","dataLength","dataLengthPre"
"63","FlpwWT1Y","P",3,2,5,4,2,2,1,2,3,2,1,4,4,5,3,4,4,6.18675476940604,357.94513007321,2.87252040819422,43.6444429087751,5831,8393
"64","QhmaroPF","P",3,3,4,4,3,2,3,3,4,4,2,2,3,4,3,3,3,8.54661386981952,203.578640747145,2.99052332585523,34.8515969831775,2956,3611
"65","tal2DLDz","P",2,3,4,3,4,3,3,3,3,4,4,3,4,4,5,5,4.2,8.4443418229027,493.406345482109,2.95150549616247,81.3501554606964,5746,3021
"66","r4DlVb7e","I",4,4,4,4,3,3,4,2,4,3,2,2,2,3,4,4,3,6.3567286725567,313.131441942154,2.59566933876687,149.763238229406,5867,7173
"67","erwlMAMM","P",1,3,6,6,0,1,1,0,2,2,1,1,2,3,2,2,2,6.14801791882147,508.509621319622,2.49211354292623,50.45282011867,5720,6518
"68","WouYNWl1","P",1,2,5,6,1,0,1,1,1,2,1,1,3,4,2,2,2.4,5.0777728535001,293.193767623553,2.75985672801705,101.759130244774,5918,10224
"69","Sq5cz1uQ","W",2,1,5,4,2,1,2,2,3,2,1,3,4,5,3,3,3.6,11.5059288906376,64.7268209386477,2.76142654879318,45.4659759175307,1668,4692
"70","TjGxlOfS","W",1,0,6,6,2,1,0,0,1,0,0,1,2,0,3,3,1.8,2.66412844500949,217.29908808488,3.2737753472551,41.7817851905801,5877,633
"71","lphXrfk2","P",3,2,4,5,3,3,2,2,3,3,3,4,4,4,4,3,3.8,5.51482434795745,298.956175223082,2.73137780479706,127.418614510693,5912,4207
"72","9DBbfuHd","I",2,2,4,4,2,2,1,2,3,3,2,2,4,4,4,4,3.6,6.73154953001782,122.652678415404,2.81783782300384,144.256571865671,172,574
"73","iQ49E4dD","W",1,5,5,4,1,2,1,1,4,1,1,2,1,2,2,2,1.8,5.79220997274756,227.053344910863,3.02706965518859,59.4693266086728,5523,796
"74","IBjfyG1a","I",2,1,6,6,2,2,1,1,1,0,0,2,3,1,3,5,2.8,4.07539865452982,192.890413507762,3.13688338715978,108.388130464812,5782,998
"75","520QkEiq","I",4,4,3,3,3,3,3,3,4,3,2,2,3,5,2,2,2.8,46.328679340866,87.6468139912935,3,14.676794109456,7150,989
"76","7nbpUOOZ","P",0,2,5,4,4,0,0,0,4,2,2,2,4,2,2,2,2.4,4.61898499625747,348.032999336778,3.27523757954677,150.278023815657,5723,5308
"77","YN2aAfH7","P",1,1,4,5,2,1,1,1,3,1,2,2,3,4,2,2,2.6,6.71459964792023,459.123313234564,2.79372094310896,89.2754632136088,5723,4338
"78","1YYqrfoY","I",0,0,6,2,1,0,0,0,4,0,0,1,1,1,1,1,1,8.0251085899598,435.227357726622,2.99454880138149,100.661611382307,4980,2498
"79","DTb8w3sa","P",2,1,4,3,4,2,1,1,2,3,2,2,2,2,2,2,2,4.99948754483591,262.768121306266,2.64772536689322,53.6520969738284,5881,1468
"80","Oytf1qSp","W",1,1,6,5,2,1,1,1,2,2,1,1,3,3,2,2,2.2,6.17195786394295,463.386083215954,2.90564682689983,166.129386615745,5870,3756
"81","c4O3IvFd","I",3,2,2,2,4,4,4,2,2,5,4,4,4,5,3,4,4,6.23902115403043,56.4419602577725,2.72097212118963,36.3987605782581,73,291
"82","CxyuRJ1s","W",2,2,6,5,1,4,1,2,2,1,1,1,4,4,4,4,3.4,8.72123844416605,0,2.58119380377731,17.4255981074722,5954,1821
"83","c3UQ91jq","W",0,0,6,6,0,0,0,0,0,0,1,0,1,0,1,1,0.6,7.58664276582962,282.322111246887,3,38.2148412402296,3789,2196
"84","RAkF1zvw","W",1,1,5,5,1,1,1,1,1,1,1,1,3,3,3,3,2.6,8.46306406268768,493.860932136816,3.04814155886265,314.419239400061,5927,18427
"85","YcZZXQ3c","W",1,0,6,6,1,1,0,1,1,1,1,1,2,1,2,2,1.6,3.90099335023049,124.266461909228,3.09474101881072,128.152023708011,5895,690
"86","IYiHxMgO","P",2,1,6,6,3,0,0,0,2,1,2,1,2,3,2,2,2,4.99785167666888,267.585153917432,2.83576357226884,120.801770704693,5873,3501
"87","4NoxlPDI","I",2,3,4,4,3,2,2,2,3,2,2,2,3,3,3,4,3,6.97182462270341,121.258233579571,2.7007300380997,140.478749174251,455,4082
"88","E9xnwhy1","P",2,1,4,4,2,2,2,2,2,2,2,3,3,2,2,2,2.4,8.76390403436257,22.1012186656386,2.78099328524932,45.5474988098889,59,263
"89","bdDz8yb3","I",3,2,5,2,3,1,2,2,3,3,2,4,2,3,4,5,3.6,6.99847823679023,234.109972988751,2.89111518881235,173.279599267817,5878,5657
"90","057d8Z6W","W",3,3,5,5,3,3,1,1,2,4,1,3,3,4,4,4,3.6,8.55552428883261,291.048504472241,2.88088287408665,170.901610824926,5740,5351
"91","9NTbLFbF","I",0,0,6,6,1,1,1,0,0,1,2,1,2,2,1,1,1.4,6.16038311679161,179.966737591972,3.01008215706473,144.023459754269,5455,3296
"92","nTB9sYY3","I",2,2,5,6,2,2,2,2,4,2,1,1,3,4,2,2,2.4,8.594777477876,147.322106324746,2.91716815264463,101.0258489383,4792,4867
"93","A3ICMJYO","I",2,2,4,4,3,3,1,2,2,3,3,3,4,4,4,4,3.8,3.60947098576538,137.513071379424,2.61536038426322,373.620944991574,5273,5349
"94","yOXIZ4Uq","P",2,2,5,5,4,1,1,1,1,5,4,2,3,2,2,2,2.2,5.37479451879044,515.217796532932,2.69152262492492,52.9311775220688,14243,10026
"95","d5teinPu","W",1,4,6,5,1,1,1,1,5,1,0,1,4,5,5,5,4,7.81425202139138,221.974361924262,3.07400994559744,92.5348040170737,1772,1716
