"","condition","ID","cov_distance","aa","pa","IDnum","ms","d"
"3318","W","0FkbYvgu",6.2225719102837,-1.71042266712863,2.76925474656424,3,601,4.14372681099996
"3371","W","0FkbYvgu",6.2225719102837,-1.54752527028127,3.14159165358979,3,836,4.0548109422594
"3384","W","0FkbYvgu",6.2225719102837,-2.65290046320969,3.14159165358979,3,702,4.05481098862418
"3598","W","0FkbYvgu",6.2225719102837,2.9205176148242,1.5009821567817,3,569,6.14092193343483
"3694","W","0FkbYvgu",6.2225719102837,0.383972435259112,1.68715061032776,3,2978,5.94601781441254
"3740","W","0FkbYvgu",6.2225719102837,0.465421133685512,1.53588874182158,3,3729,6.05635879845923
"3832","W","0FkbYvgu",6.2225719102837,0.639954058884944,1.71042166702102,3,1056,6.64224525694016
"3835","W","0FkbYvgu",6.2225719102837,0.67486064392483,1.71042166702102,3,986,6.65290955111245
"3854","W","0FkbYvgu",6.2225719102837,0.77958039904449,1.90822564891371,3,1656,6.56665655222948
"3932","W","0FkbYvgu",6.2225719102837,3.03687289829049,1.59406638355473,3,2542,6.45219938903719
"4194","W","0FkbYvgu",6.2225719102837,0.279252680139447,1.37299134496878,3,1839,5.78213237722901
"4326","W","0FkbYvgu",6.2225719102837,0.372336906912477,1.5824308552081,3,819,7.6815038569008
"4329","W","0FkbYvgu",6.2225719102837,0.372336906912477,1.5824308552081,3,836,8.92126690802086
"4331","W","0FkbYvgu",6.2225719102837,0.372336906912477,1.5824308552081,3,620,8.07361489845469
"4354","W","0FkbYvgu",6.2225719102837,-3.04850842699641,1.08210313630306,3,502,8.09573409061711
"4371","W","0FkbYvgu",6.2225719102837,2.74598468962476,1.23336500480923,3,520,5.56805059513709
"4447","W","0FkbYvgu",6.2225719102837,1.25663706125627,1.85004800718056,3,536,5.5068143039304
"4487","W","0FkbYvgu",6.2225719102837,1.25663706125627,1.85004800718056,3,519,5.73970283966332
"4526","W","0FkbYvgu",6.2225719102837,0.977384380937175,2.14093621584628,3,518,3.88924129144531
"4548","W","0FkbYvgu",6.2225719102837,0.977384380937175,2.14093621584628,3,725,3.9986768486327
"4573","W","0FkbYvgu",6.2225719102837,0.40724349195236,2.08275857411314,3,653,2.8160331843017
"4579","W","0LbIayBj",5.96511558069693,-2.04297467831793e-10,1.55932981409462,4,4405,8.72123844416605
"4632","W","0LbIayBj",5.96511558069693,-0.546688027365435,1.34902672948582,4,2083,8.72123844416605
"4718","W","0LbIayBj",5.96511558069693,1.9122718127946,1.5975997940472,4,900,8.72123844416606
